trial	response	speed	player	ball	direction	goal_size	goal_height	ID	session	block
2	v				-	1.5	-3.0	CK	1	18
3	v				+	3.25	-6.5	CK	1	18
4	n				+	2.5	-5.0	CK	1	18
5	v				+	1.25	-2.5	CK	1	18
6	n				-	3.5	-7.0	CK	1	18
7	v				-	3.25	-6.5	CK	1	18
8	n				-	4.0	-8.0	CK	1	18
9	n				-	1.25	-2.5	CK	1	18
0	n	NA	NA	NA	+	3.5	-7.0	CK	1	19
1	n	NA	NA	NA	+	1.0	-2.0	CK	1	19
2	n	NA	NA	NA	+	4.0	-8.0	CK	1	19
3	n	NA	NA	NA	-	3.5	-7.0	CK	1	19
4	v	NA	NA	NA	+	3.25	-6.5	CK	1	19
5	n	NA	NA	NA	+	1.75	-3.5	CK	1	19
6	n	NA	NA	NA	+	2.0	-4.0	CK	1	19
7	v	NA	NA	NA	-	2.5	-5.0	CK	1	19
8	n	NA	NA	NA	-	3.0	-6.0	CK	1	19
9	v	NA	NA	NA	+	1.0	-2.0	CK	1	19
