response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change
n	1	201.07420193300095	0.7661241360001441	1.0749128139996174	0	0.1425658799998928	1.407462385999679	1.2082652680001047
v	2	204.73652378900078	0.27989912100019865	0.594968006000272	0	0.15223746199808375	0.9441483409991633	-204.73652378900078
v	3	207.21020040300027	0.28625999399991997	0.6038425219994679	0	0.22169423999912397	0.9531071780002094	-207.21020040300027
n	4	209.69280857800004	0.30008087399983197	0.6204205960002582	0	0.13070384899947385	0.9529980520001118	-209.69280857800004
v	5	212.9009118009999	0.2835954180009139	0.5947714150006504	0	0.18022334999841405	0.9272038950002752	0.6947432659999322
v	6	216.08331291300055	0.2772780089999287	0.5946132839999336	0	0.18227657199895475	0.9438246800000343	0.5280253309992986
n	7	218.55727235800077	0.19526871100060816	0.5032418749997305	0	0.19146758899842098	0.85247287600032	0.5366307080003025
v	8	220.93966290500066	0.14104850399962743	0.45348733799983165	0	0.2991849199988792	0.7860017250004603	-220.93966290500066
v	9	223.98072073700132	0.2439371989985375	0.561575140000059	0	0.20583930099746794	0.8939085539986991	0.6947919829999591
v	10	227.12973894300012	0.27094342800046434	0.5780890070000169	0	0.32028109000020777	0.9114951450010267	-227.12973894300012
v	11	230.29564338199998	0.21842476399979205	0.5279487050011085	0	0.26054984599795716	0.8603951800014329	-230.29564338199998
n	12	233.4110811210012	0.16597441399972013	0.4781577429985191	0	0.322969787999682	0.8116818259986758	-233.4110811210012
v	13	236.47712476500055	0.18881826699907833	0.49442273000022396	0	0.31273876699924585	0.8436517339996499	0.527827931999127
v	14	238.85066972999994	0.21419651500036707	0.5201511940013006	0	0.2895085049985937	0.8693956940005592	0.5869136420005816
v	15	241.25019368100038	0.07992843000101857	0.3866261769999255	0	0.343519023999761	0.7366762429992377	-241.25019368100038
n	16	244.24104014300065	0.36101613199934945	0.6780481519999739	0	0.16562123199946654	1.0272564379993128	-244.24104014300065
v	17	246.79853863900098	0.12389723999876878	0.4365930889998708	0	0.12128937799934647	0.7691771600002539	-246.79853863900098
