trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	trial_nr	block
14	0.5	4	0	-	3.5	1.75	0.45	26	3
9	0.5	4	0	-	3.0	1.5	0.3	27	3
2	0.5	4	0	-	2.0	1.0	0.6	28	3
20	0.5	4	0	+	4.0	2.0	0.6	29	3
56	0.5	4	0	+	8.5	4.25	0.45	30	3
5	0.5	4	0	-	2.5	1.25	0.75	31	3
19	0.5	4	0	+	4.0	2.0	0.75	32	3
28	0.5	4	0	+	5.0	2.5	0.6	33	3
50	0.5	4	0	-	8.0	4.0	0.9	34	3
12	0.5	4	0	+	3.0	1.5	0.75	35	3
7	0.5	4	0	+	2.5	1.25	0.6	36	3
16	0.5	4	0	+	3.5	1.75	0.9	37	3
45	0.5	4	0	-	7.5	3.75	0.75	38	3
31	0.5	4	0	+	5.5	2.75	0.45	39	3
32	0.5	4	0	+	5.5	2.75	0.45	40	3
22	0.5	4	0	-	4.5	2.25	0.75	41	3
3	0.5	4	0	+	2.0	1.0	0.45	42	3
36	0.5	4	0	+	6.0	3.0	0.9	43	3
24	0.5	4	0	+	4.5	2.25	0.45	44	3
25	0.5	4	0	-	5.0	2.5	0.3	45	3
10	0.5	4	0	-	3.0	1.5	0.6	46	3
30	0.5	4	0	-	5.5	2.75	0.3	47	3
33	0.5	4	0	-	6.0	3.0	0.9	48	3
11	0.5	4	0	+	3.0	1.5	0.45	49	3
49	0.5	4	0	-	8.0	4.0	0.6	50	3
8	0.5	4	0	+	2.5	1.25	0.45	51	3
39	0.5	4	0	+	6.5	3.25	0.45	52	3
51	0.5	4	0	+	8.0	4.0	0.3	53	3
27	0.5	4	0	+	5.0	2.5	0.9	54	3
44	0.5	4	0	+	7.0	3.5	0.6	55	3
42	0.5	4	0	-	7.0	3.5	0.45	56	3
41	0.5	4	0	-	7.0	3.5	0.75	1	4
34	0.5	4	0	-	6.0	3.0	0.3	2	4
16	0.5	4	0	+	3.5	1.75	0.9	3	4
45	0.5	4	0	-	7.5	3.75	0.75	4	4
44	0.5	4	0	+	7.0	3.5	0.6	5	4
52	0.5	4	0	+	8.0	4.0	0.6	6	4
54	0.5	4	0	-	8.5	4.25	0.45	7	4
23	0.5	4	0	+	4.5	2.25	0.6	8	4
9	0.5	4	0	-	3.0	1.5	0.3	9	4
1	0.5	4	0	-	2.0	1.0	0.45	10	4
20	0.5	4	0	+	4.0	2.0	0.6	11	4
29	0.5	4	0	-	5.5	2.75	0.6	12	4
12	0.5	4	0	+	3.0	1.5	0.75	13	4
39	0.5	4	0	+	6.5	3.25	0.45	14	4
48	0.5	4	0	+	7.5	3.75	0.75	15	4
7	0.5	4	0	+	2.5	1.25	0.6	16	4
32	0.5	4	0	+	5.5	2.75	0.45	17	4
13	0.5	4	0	-	3.5	1.75	0.75	18	4
28	0.5	4	0	+	5.0	2.5	0.6	19	4
25	0.5	4	0	-	5.0	2.5	0.3	20	4
31	0.5	4	0	+	5.5	2.75	0.45	21	4
33	0.5	4	0	-	6.0	3.0	0.9	22	4
14	0.5	4	0	-	3.5	1.75	0.45	23	4
43	0.5	4	0	+	7.0	3.5	0.9	24	4
4	0.5	4	0	+	2.0	1.0	0.9	25	4
30	0.5	4	0	-	5.5	2.75	0.3	26	4
3	0.5	4	0	+	2.0	1.0	0.45	27	4
11	0.5	4	0	+	3.0	1.5	0.45	28	4
46	0.5	4	0	-	7.5	3.75	0.45	29	4
35	0.5	4	0	+	6.0	3.0	0.9	30	4
53	0.5	4	0	-	8.5	4.25	0.9	31	4
36	0.5	4	0	+	6.0	3.0	0.9	32	4
26	0.5	4	0	-	5.0	2.5	0.9	33	4
40	0.5	4	0	+	6.5	3.25	0.45	34	4
51	0.5	4	0	+	8.0	4.0	0.3	35	4
55	0.5	4	0	+	8.5	4.25	0.9	36	4
8	0.5	4	0	+	2.5	1.25	0.45	37	4
5	0.5	4	0	-	2.5	1.25	0.75	38	4
18	0.5	4	0	-	4.0	2.0	0.9	39	4
10	0.5	4	0	-	3.0	1.5	0.6	40	4
47	0.5	4	0	+	7.5	3.75	0.75	41	4
50	0.5	4	0	-	8.0	4.0	0.9	42	4
15	0.5	4	0	+	3.5	1.75	0.45	43	4
