trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change_loc	trial_nr	block
4	0.5	5	1	-	9	5	0.9	-4	21	5
8	0.5	5	1	-	9	5	0.3	-8	22	5
17	0.5	5	1	-	9	5	0.44999999999999996	-1	23	5
28	0.5	5	1	+	9	5	0.3	-4	24	5
5	0.5	5	1	-	9	5	0.44999999999999996	-5	25	5
12	0.5	5	1	+	9	5	0.75	-4	26	5
20	0.5	5	1	-	9	5	0.9	-4	27	5
31	0.5	5	1	+	9	5	0.6	-7	28	5
15	0.5	5	1	+	9	5	0.9	-7	29	5
11	0.5	5	1	+	9	5	0.3	-3	30	5
18	0.5	5	1	-	9	5	0.9	-2	31	5
16	0.5	5	1	+	9	5	0.6	-8	32	5
13	0.5	5	1	+	9	5	0.3	-5	1	6
3	0.5	5	1	-	9	5	0.3	-3	2	6
19	0.5	5	1	-	9	5	0.3	-3	3	6
16	0.5	5	1	+	9	5	0.6	-8	4	6
31	0.5	5	1	+	9	5	0.6	-7	5	6
20	0.5	5	1	-	9	5	0.9	-4	6	6
15	0.5	5	1	+	9	5	0.9	-7	7	6
30	0.5	5	1	+	9	5	0.44999999999999996	-6	8	6
29	0.5	5	1	+	9	5	0.9	-5	9	6
12	0.5	5	1	+	9	5	0.75	-4	10	6
11	0.5	5	1	+	9	5	0.3	-3	11	6
1	0.5	5	1	-	9	5	0.44999999999999996	-1	12	6
27	0.5	5	1	+	9	5	0.44999999999999996	-3	13	6
14	0.5	5	1	+	9	5	0.9	-6	14	6
26	0.5	5	1	+	9	5	0.6	-2	15	6
17	0.5	5	1	-	9	5	0.44999999999999996	-1	16	6
4	0.5	5	1	-	9	5	0.9	-4	17	6
2	0.5	5	1	-	9	5	0.44999999999999996	-2	18	6
10	0.5	5	1	+	9	5	0.75	-2	19	6
23	0.5	5	1	-	9	5	0.44999999999999996	-7	20	6
24	0.5	5	1	-	9	5	0.44999999999999996	-8	21	6
28	0.5	5	1	+	9	5	0.3	-4	22	6
7	0.5	5	1	-	9	5	0.9	-7	23	6
21	0.5	5	1	-	9	5	0.75	-5	24	6
5	0.5	5	1	-	9	5	0.44999999999999996	-5	25	6
18	0.5	5	1	-	9	5	0.9	-2	26	6
25	0.5	5	1	+	9	5	0.75	-1	27	6
6	0.5	5	1	-	9	5	0.3	-6	28	6
8	0.5	5	1	-	9	5	0.3	-8	29	6
9	0.5	5	1	+	9	5	0.3	-1	30	6
32	0.5	5	1	+	9	5	0.75	-8	31	6
22	0.5	5	1	-	9	5	0.6	-6	32	6
19	0.5	5	1	-	9	5	0.3	-3	1	7
18	0.5	5	1	-	9	5	0.9	-2	2	7
25	0.5	5	1	+	9	5	0.75	-1	3	7
17	0.5	5	1	-	9	5	0.44999999999999996	-1	4	7
22	0.5	5	1	-	9	5	0.6	-6	5	7
29	0.5	5	1	+	9	5	0.9	-5	6	7
