trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change	change_loc	trial_nr	block
18	0.5	5	1	+	9	4.5	0.44999999999999996	1	-2	20	2
64	0.5	5	1	+	9	4.5	0.6	0	0	21	2
15	0.5	5	1	-	9	4.5	0.75	0	0	22	2
51	0.5	5	1	+	9	4.5	0.9	1	-3	23	2
23	0.5	5	1	+	9	4.5	0.6	1	-7	24	2
49	0.5	5	1	+	9	4.5	0.9	1	-1	25	2
36	0.5	5	1	-	9	4.5	0.3	1	-4	26	2
44	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	27	2
53	0.5	5	1	+	9	4.5	0.9	1	-5	28	2
42	0.5	5	1	-	9	4.5	0.6	0	0	29	2
27	0.5	5	1	+	9	4.5	0.9	0	0	30	2
25	0.5	5	1	+	9	4.5	0.3	0	0	31	2
40	0.5	5	1	-	9	4.5	0.3	1	-8	32	2
29	0.5	5	1	+	9	4.5	0.6	0	0	33	2
17	0.5	5	1	+	9	4.5	0.9	1	-1	34	2
39	0.5	5	1	-	9	4.5	0.44999999999999996	1	-7	35	2
16	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	36	2
37	0.5	5	1	-	9	4.5	0.75	1	-5	37	2
10	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	38	2
4	0.5	5	1	-	9	4.5	0.6	1	-4	39	2
28	0.5	5	1	+	9	4.5	0.75	0	0	40	2
55	0.5	5	1	+	9	4.5	0.44999999999999996	1	-7	41	2
26	0.5	5	1	+	9	4.5	0.9	0	0	42	2
47	0.5	5	1	-	9	4.5	0.9	0	0	43	2
3	0.5	5	1	-	9	4.5	0.44999999999999996	1	-3	44	2
62	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	45	2
35	0.5	5	1	-	9	4.5	0.44999999999999996	1	-3	46	2
48	0.5	5	1	-	9	4.5	0.3	0	0	47	2
1	0.5	5	1	-	9	4.5	0.3	1	-1	48	2
21	0.5	5	1	+	9	4.5	0.44999999999999996	1	-5	49	2
38	0.5	5	1	-	9	4.5	0.6	1	-6	50	2
7	0.5	5	1	-	9	4.5	0.3	1	-7	51	2
33	0.5	5	1	-	9	4.5	0.44999999999999996	1	-1	52	2
56	0.5	5	1	+	9	4.5	0.9	1	-8	53	2
63	0.5	5	1	+	9	4.5	0.3	0	0	54	2
34	0.5	5	1	-	9	4.5	0.9	1	-2	55	2
13	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	56	2
12	0.5	5	1	-	9	4.5	0.75	0	0	57	2
19	0.5	5	1	+	9	4.5	0.75	1	-3	58	2
57	0.5	5	1	+	9	4.5	0.6	0	0	59	2
32	0.5	5	1	+	9	4.5	0.3	0	0	60	2
52	0.5	5	1	+	9	4.5	0.75	1	-4	61	2
2	0.5	5	1	-	9	4.5	0.44999999999999996	1	-2	62	2
59	0.5	5	1	+	9	4.5	0.75	0	0	63	2
61	0.5	5	1	+	9	4.5	0.9	0	0	64	2
23	0.5	5	1	+	9	4.5	0.6	1	-7	1	3
42	0.5	5	1	-	9	4.5	0.6	0	0	2	3
35	0.5	5	1	-	9	4.5	0.44999999999999996	1	-3	3	3
45	0.5	5	1	-	9	4.5	0.9	0	0	4	3
57	0.5	5	1	+	9	4.5	0.6	0	0	5	3
62	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	6	3
25	0.5	5	1	+	9	4.5	0.3	0	0	7	3
2	0.5	5	1	-	9	4.5	0.44999999999999996	1	-2	8	3
63	0.5	5	1	+	9	4.5	0.3	0	0	9	3
14	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	10	3
51	0.5	5	1	+	9	4.5	0.9	1	-3	11	3
53	0.5	5	1	+	9	4.5	0.9	1	-5	12	3
13	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	13	3
28	0.5	5	1	+	9	4.5	0.75	0	0	14	3
44	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	15	3
8	0.5	5	1	-	9	4.5	0.3	1	-8	16	3
64	0.5	5	1	+	9	4.5	0.6	0	0	17	3
34	0.5	5	1	-	9	4.5	0.9	1	-2	18	3
7	0.5	5	1	-	9	4.5	0.3	1	-7	19	3
37	0.5	5	1	-	9	4.5	0.75	1	-5	20	3
38	0.5	5	1	-	9	4.5	0.6	1	-6	21	3
41	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	22	3
60	0.5	5	1	+	9	4.5	0.75	0	0	23	3
24	0.5	5	1	+	9	4.5	0.6	1	-8	24	3
49	0.5	5	1	+	9	4.5	0.9	1	-1	25	3
30	0.5	5	1	+	9	4.5	0.9	0	0	26	3
50	0.5	5	1	+	9	4.5	0.6	1	-2	27	3
59	0.5	5	1	+	9	4.5	0.75	0	0	28	3
43	0.5	5	1	-	9	4.5	0.9	0	0	29	3
15	0.5	5	1	-	9	4.5	0.75	0	0	30	3
48	0.5	5	1	-	9	4.5	0.3	0	0	31	3
31	0.5	5	1	+	9	4.5	0.9	0	0	32	3
19	0.5	5	1	+	9	4.5	0.75	1	-3	33	3
27	0.5	5	1	+	9	4.5	0.9	0	0	34	3
6	0.5	5	1	-	9	4.5	0.3	1	-6	35	3
46	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	36	3
16	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	37	3
47	0.5	5	1	-	9	4.5	0.9	0	0	38	3
21	0.5	5	1	+	9	4.5	0.44999999999999996	1	-5	39	3
29	0.5	5	1	+	9	4.5	0.6	0	0	40	3
10	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	41	3
56	0.5	5	1	+	9	4.5	0.9	1	-8	42	3
1	0.5	5	1	-	9	4.5	0.3	1	-1	43	3
33	0.5	5	1	-	9	4.5	0.44999999999999996	1	-1	44	3
12	0.5	5	1	-	9	4.5	0.75	0	0	45	3
17	0.5	5	1	+	9	4.5	0.9	1	-1	46	3
61	0.5	5	1	+	9	4.5	0.9	0	0	47	3
20	0.5	5	1	+	9	4.5	0.75	1	-4	48	3
3	0.5	5	1	-	9	4.5	0.44999999999999996	1	-3	49	3
40	0.5	5	1	-	9	4.5	0.3	1	-8	50	3
39	0.5	5	1	-	9	4.5	0.44999999999999996	1	-7	51	3
36	0.5	5	1	-	9	4.5	0.3	1	-4	52	3
26	0.5	5	1	+	9	4.5	0.9	0	0	53	3
5	0.5	5	1	-	9	4.5	0.44999999999999996	1	-5	54	3
11	0.5	5	1	-	9	4.5	0.75	0	0	55	3
4	0.5	5	1	-	9	4.5	0.6	1	-4	56	3
18	0.5	5	1	+	9	4.5	0.44999999999999996	1	-2	57	3
9	0.5	5	1	-	9	4.5	0.75	0	0	58	3
54	0.5	5	1	+	9	4.5	0.3	1	-6	59	3
32	0.5	5	1	+	9	4.5	0.3	0	0	60	3
22	0.5	5	1	+	9	4.5	0.6	1	-6	61	3
58	0.5	5	1	+	9	4.5	0.6	0	0	62	3
52	0.5	5	1	+	9	4.5	0.75	1	-4	63	3
55	0.5	5	1	+	9	4.5	0.44999999999999996	1	-7	64	3
36	0.5	5	1	-	9	4.5	0.3	1	-4	1	4
23	0.5	5	1	+	9	4.5	0.6	1	-7	2	4
2	0.5	5	1	-	9	4.5	0.44999999999999996	1	-2	3	4
37	0.5	5	1	-	9	4.5	0.75	1	-5	4	4
8	0.5	5	1	-	9	4.5	0.3	1	-8	5	4
62	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	6	4
3	0.5	5	1	-	9	4.5	0.44999999999999996	1	-3	7	4
4	0.5	5	1	-	9	4.5	0.6	1	-4	8	4
27	0.5	5	1	+	9	4.5	0.9	0	0	9	4
63	0.5	5	1	+	9	4.5	0.3	0	0	10	4
5	0.5	5	1	-	9	4.5	0.44999999999999996	1	-5	11	4
31	0.5	5	1	+	9	4.5	0.9	0	0	12	4
7	0.5	5	1	-	9	4.5	0.3	1	-7	13	4
25	0.5	5	1	+	9	4.5	0.3	0	0	14	4
49	0.5	5	1	+	9	4.5	0.9	1	-1	15	4
29	0.5	5	1	+	9	4.5	0.6	0	0	16	4
53	0.5	5	1	+	9	4.5	0.9	1	-5	17	4
30	0.5	5	1	+	9	4.5	0.9	0	0	18	4
39	0.5	5	1	-	9	4.5	0.44999999999999996	1	-7	19	4
41	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	20	4
54	0.5	5	1	+	9	4.5	0.3	1	-6	21	4
17	0.5	5	1	+	9	4.5	0.9	1	-1	22	4
35	0.5	5	1	-	9	4.5	0.44999999999999996	1	-3	23	4
16	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	24	4
47	0.5	5	1	-	9	4.5	0.9	0	0	25	4
26	0.5	5	1	+	9	4.5	0.9	0	0	26	4
51	0.5	5	1	+	9	4.5	0.9	1	-3	27	4
28	0.5	5	1	+	9	4.5	0.75	0	0	28	4
9	0.5	5	1	-	9	4.5	0.75	0	0	29	4
40	0.5	5	1	-	9	4.5	0.3	1	-8	30	4
42	0.5	5	1	-	9	4.5	0.6	0	0	31	4
43	0.5	5	1	-	9	4.5	0.9	0	0	32	4
12	0.5	5	1	-	9	4.5	0.75	0	0	33	4
24	0.5	5	1	+	9	4.5	0.6	1	-8	34	4
6	0.5	5	1	-	9	4.5	0.3	1	-6	35	4
48	0.5	5	1	-	9	4.5	0.3	0	0	36	4
20	0.5	5	1	+	9	4.5	0.75	1	-4	37	4
44	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	38	4
18	0.5	5	1	+	9	4.5	0.44999999999999996	1	-2	39	4
33	0.5	5	1	-	9	4.5	0.44999999999999996	1	-1	40	4
55	0.5	5	1	+	9	4.5	0.44999999999999996	1	-7	41	4
32	0.5	5	1	+	9	4.5	0.3	0	0	42	4
34	0.5	5	1	-	9	4.5	0.9	1	-2	43	4
10	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	44	4
58	0.5	5	1	+	9	4.5	0.6	0	0	45	4
45	0.5	5	1	-	9	4.5	0.9	0	0	46	4
59	0.5	5	1	+	9	4.5	0.75	0	0	47	4
21	0.5	5	1	+	9	4.5	0.44999999999999996	1	-5	48	4
11	0.5	5	1	-	9	4.5	0.75	0	0	49	4
50	0.5	5	1	+	9	4.5	0.6	1	-2	50	4
13	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	51	4
22	0.5	5	1	+	9	4.5	0.6	1	-6	52	4
1	0.5	5	1	-	9	4.5	0.3	1	-1	53	4
64	0.5	5	1	+	9	4.5	0.6	0	0	54	4
46	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	55	4
57	0.5	5	1	+	9	4.5	0.6	0	0	56	4
19	0.5	5	1	+	9	4.5	0.75	1	-3	57	4
52	0.5	5	1	+	9	4.5	0.75	1	-4	58	4
61	0.5	5	1	+	9	4.5	0.9	0	0	59	4
14	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	60	4
56	0.5	5	1	+	9	4.5	0.9	1	-8	61	4
60	0.5	5	1	+	9	4.5	0.75	0	0	62	4
38	0.5	5	1	-	9	4.5	0.6	1	-6	63	4
15	0.5	5	1	-	9	4.5	0.75	0	0	64	4
