trial	speed	ball_pos	distance	broad	jitter	gap_time	shift_pos	trial_nr	block
17	0.5	3	9	5	0.6	0.4	-5	39	1
11	0.5	3	9	5	0.9	0.4	5	40	1
20	0.5	3	9	5	0.3	0.1	5	41	1
25	0.5	3	9	5	0.6	0.0	-5	42	1
22	0.5	3	9	5	0.3	0.30000000000000004	5	43	1
15	0.5	3	9	5	0.3	0.2	-5	44	1
5	0.5	3	9	5	0.44999999999999996	0.4	-5	45	1
29	0.5	3	9	5	0.44999999999999996	0.4	-5	46	1
39	0.5	3	9	5	0.44999999999999996	0.2	-5	47	1
46	0.5	3	9	5	0.6	0.30000000000000004	5	48	1
10	0.5	3	9	5	0.75	0.30000000000000004	5	1	2
17	0.5	3	9	5	0.6	0.4	-5	2	2
28	0.5	3	9	5	0.9	0.30000000000000004	-5	3	2
43	0.5	3	9	5	0.9	0.0	5	4	2
42	0.5	3	9	5	0.6	0.5	-5	5	2
29	0.5	3	9	5	0.44999999999999996	0.4	-5	6	2
5	0.5	3	9	5	0.44999999999999996	0.4	-5	7	2
6	0.5	3	9	5	0.3	0.5	-5	8	2
34	0.5	3	9	5	0.75	0.30000000000000004	5	9	2
45	0.5	3	9	5	0.9	0.2	5	10	2
7	0.5	3	9	5	0.3	0.0	5	11	2
4	0.5	3	9	5	0.6	0.30000000000000004	-5	12	2
23	0.5	3	9	5	0.3	0.4	5	13	2
39	0.5	3	9	5	0.44999999999999996	0.2	-5	14	2
16	0.5	3	9	5	0.44999999999999996	0.30000000000000004	-5	15	2
12	0.5	3	9	5	0.6	0.5	5	16	2
8	0.5	3	9	5	0.75	0.1	5	17	2
11	0.5	3	9	5	0.9	0.4	5	18	2
36	0.5	3	9	5	0.9	0.5	5	19	2
19	0.5	3	9	5	0.6	0.0	5	20	2
25	0.5	3	9	5	0.6	0.0	-5	21	2
2	0.5	3	9	5	0.6	0.1	-5	22	2
48	0.5	3	9	5	0.6	0.5	5	23	2
27	0.5	3	9	5	0.3	0.2	-5	24	2
46	0.5	3	9	5	0.6	0.30000000000000004	5	25	2
24	0.5	3	9	5	0.44999999999999996	0.5	5	26	2
35	0.5	3	9	5	0.44999999999999996	0.4	5	27	2
21	0.5	3	9	5	0.44999999999999996	0.2	5	28	2
31	0.5	3	9	5	0.75	0.0	5	29	2
22	0.5	3	9	5	0.3	0.30000000000000004	5	30	2
47	0.5	3	9	5	0.9	0.4	5	31	2
37	0.5	3	9	5	0.75	0.0	-5	32	2
15	0.5	3	9	5	0.3	0.2	-5	33	2
20	0.5	3	9	5	0.3	0.1	5	34	2
9	0.5	3	9	5	0.9	0.2	5	35	2
38	0.5	3	9	5	0.9	0.1	-5	36	2
30	0.5	3	9	5	0.75	0.5	-5	37	2
44	0.5	3	9	5	0.44999999999999996	0.1	5	38	2
33	0.5	3	9	5	0.9	0.2	5	39	2
14	0.5	3	9	5	0.75	0.1	-5	40	2
32	0.5	3	9	5	0.6	0.1	5	41	2
3	0.5	3	9	5	0.3	0.2	-5	42	2
40	0.5	3	9	5	0.75	0.30000000000000004	-5	43	2
13	0.5	3	9	5	0.44999999999999996	0.0	-5	44	2
1	0.5	3	9	5	0.75	0.0	-5	45	2
41	0.5	3	9	5	0.9	0.4	-5	46	2
18	0.5	3	9	5	0.6	0.5	-5	47	2
26	0.5	3	9	5	0.44999999999999996	0.1	-5	48	2
23	0.5	3	9	5	0.3	0.4	5	1	3
14	0.5	3	9	5	0.75	0.1	-5	2	3
26	0.5	3	9	5	0.44999999999999996	0.1	-5	3	3
13	0.5	3	9	5	0.44999999999999996	0.0	-5	4	3
24	0.5	3	9	5	0.44999999999999996	0.5	5	5	3
19	0.5	3	9	5	0.6	0.0	5	6	3
25	0.5	3	9	5	0.6	0.0	-5	7	3
5	0.5	3	9	5	0.44999999999999996	0.4	-5	8	3
27	0.5	3	9	5	0.3	0.2	-5	9	3
21	0.5	3	9	5	0.44999999999999996	0.2	5	10	3
45	0.5	3	9	5	0.9	0.2	5	11	3
1	0.5	3	9	5	0.75	0.0	-5	12	3
18	0.5	3	9	5	0.6	0.5	-5	13	3
43	0.5	3	9	5	0.9	0.0	5	14	3
2	0.5	3	9	5	0.6	0.1	-5	15	3
16	0.5	3	9	5	0.44999999999999996	0.30000000000000004	-5	16	3
42	0.5	3	9	5	0.6	0.5	-5	17	3
3	0.5	3	9	5	0.3	0.2	-5	18	3
15	0.5	3	9	5	0.3	0.2	-5	19	3
46	0.5	3	9	5	0.6	0.30000000000000004	5	20	3
48	0.5	3	9	5	0.6	0.5	5	21	3
39	0.5	3	9	5	0.44999999999999996	0.2	-5	22	3
