trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	trial_nr	block
8	0.5	4	0	+	2.5	1.25	0.44999999999999996	47	4
34	0.5	4	0	-	6.0	3.0	0.3	48	4
41	0.5	4	0	-	7.0	3.5	0.75	49	4
16	0.5	4	0	+	3.5	1.75	0.9	50	4
1	0.5	4	0	-	2.0	1.0	0.44999999999999996	51	4
15	0.5	4	0	+	3.5	1.75	0.3	52	4
19	0.5	4	0	+	4.0	2.0	0.75	53	4
31	0.5	4	0	+	5.5	2.75	0.75	54	4
38	0.5	4	0	-	6.5	3.25	0.44999999999999996	55	4
39	0.5	4	0	+	6.5	3.25	0.75	56	4
9	0.5	4	0	-	3.0	1.5	0.9	1	5
23	0.5	4	0	+	4.5	2.25	0.6	2	5
11	0.5	4	0	+	3.0	1.5	0.3	3	5
37	0.5	4	0	-	6.5	3.25	0.6	4	5
40	0.5	4	0	+	6.5	3.25	0.6	5	5
7	0.5	4	0	+	2.5	1.25	0.44999999999999996	6	5
44	0.5	4	0	+	7.0	3.5	0.3	7	5
56	0.5	4	0	+	8.5	4.25	0.3	8	5
8	0.5	4	0	+	2.5	1.25	0.44999999999999996	9	5
36	0.5	4	0	+	6.0	3.0	0.9	10	5
16	0.5	4	0	+	3.5	1.75	0.9	11	5
33	0.5	4	0	-	6.0	3.0	0.44999999999999996	12	5
38	0.5	4	0	-	6.5	3.25	0.44999999999999996	13	5
35	0.5	4	0	+	6.0	3.0	0.9	14	5
48	0.5	4	0	+	7.5	3.75	0.9	15	5
4	0.5	4	0	+	2.0	1.0	0.75	16	5
41	0.5	4	0	-	7.0	3.5	0.75	17	5
20	0.5	4	0	+	4.0	2.0	0.9	18	5
30	0.5	4	0	-	5.5	2.75	0.9	19	5
51	0.5	4	0	+	8.0	4.0	0.6	20	5
14	0.5	4	0	-	3.5	1.75	0.44999999999999996	21	5
45	0.5	4	0	-	7.5	3.75	0.75	22	5
46	0.5	4	0	-	7.5	3.75	0.6	23	5
19	0.5	4	0	+	4.0	2.0	0.75	24	5
