response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal
n	21	71.21006997800032	0.1889873259988235	0.5032282279989886	0	0.12841782699979376	0.8018262810001033
v	22	74.26733272099955	0.27520848700078204	0.5952454029993532	0	0.1311451080000552	0.893728495000687
v	23	77.41625243999988	0.31882558100005554	0.6284013059994322	0	0.1412698799995269	0.9270602319993486
n	24	80.59861139599889	0.12808640100047342	0.44496562700078357	0	0.0784332799994445	0.7605286630005139
v	25	82.89037655900029	0.18072089899942512	0.5024016049992497	0	0.14490239699989615	0.8179342789990187
v	26	85.23927240800003	0.3991057469993393	0.7196016189991497	0	0.12324916000034136	1.034834404999856
n	27	87.8054072599989	0.24190067100062151	0.5528384590015776	0	0.10792111699993256	0.8515251890003128
v	28	90.91207472099995	0.2623979380005039	0.5785354260005988	0	0.14361708699834708	0.8938613680002163
n	29	93.33812560899969	0.20431340700088185	0.5183548200002406	0	0.0818876220000675	0.8169537739995576
n	30	96.41078076799931	0.2453003990012803	0.5608152000004338	0	0.19862501900024654	0.8599932380002429
n	31	99.5257744999999	0.1616851439994207	0.47863375099950645	0	0.1895722070003103	0.7772747309991246
n	32	102.55815448499925	0.27264179099984176	0.5953701020007429	0	0.09723705400028848	0.894029290000617
v	33	105.70734078699934	0.2836556410002231	0.5951795439996204	0	0.14780406300087634	0.8938404150012502
v	34	108.85641474899967	0.09452793399941584	0.412031432000731	0	0.14195155599918508	0.71059549399979
v	35	111.82438397399892	0.26262646400027734	0.5759784780002519	0	0.12185965299977397	0.8749840240016056
n	36	114.95462707399929	0.26031061700086866	0.5779604409999592	0	0.189522812001087	0.893740269000773
v	37	117.38064572099938	0.2501355140011583	0.5679566750004597	0	0.158127192999018	0.8670175229999586
n	38	120.50275794699883	0.09664798700032406	0.41210155700173345	0	0.08000391399946238	0.7270883569999569
v	39	122.76075927599959	0.06311851000100432	0.3697852540008171	0	0.1120201489993633	0.6851409539995075
n	40	124.97799467999903	0.2140354399998614	0.5350228839997726	0	0.0978823530003865	0.8505013379999582
v	41	127.35979916100041	0.007172788999014301	0.3195932009984972	0	0.13901998900109902	0.6348224399989704
n	42	129.5256670559993	0.24980063899965899	0.5691517909999675	0	0.147537517001183	0.8846174810005323
v	43	131.94163591299912	0.22655453600054898	0.5359066880009777	0	0.08496362199912255	0.8347491140011698
v	44	135.03148556899941	0.3676322490009625	0.6784785190011462	0	0.18849883599978057	0.9773383400006423
n	45	138.26361780200023	0.09650289399905887	0.41223570100009965	0	0.11927217599986761	0.7274615269998321
v	46	140.52191724399927	0.15760523199969612	0.46956509499977983	0	0.1155581870007154	0.785004528999707
v	47	142.83793182999943	0.21835029700014275	0.5367637870003819	0	0.10062934099914855	0.8517705560007016
n	48	145.2211604949989	0.050441035000403645	0.36895757500133186	0	0.0926661100002093	0.6676393890011241
v	49	148.14508272000057	0.25436132099821407	0.5605981779990543	0	0.12917124100022193	0.8763305339998624
v	50	150.55338953499995	0.2703153309994377	0.5846630960004404	0	0.08915360299943131	0.9005006949992094
n	51	152.98476420000043	0.054739986999265966	0.3694744399999763	0	0.11263952999979665	0.6684058249993541
n	52	155.90962977199888	0.21822629100097402	0.5269295970010717	0	0.2549002220002876	0.8257873990005464
n	53	158.9913844499988	0.16008330600016052	0.47774562100130424	0	0.11788841899942781	0.7932837660009682
v	54	161.31584513800044	0.23563389099945198	0.5521798119989398	0	0.11140157100089709	0.8681900859992311
n	55	163.71471553099946	0.2687650530006067	0.586483954999494	0	0.11020256300071196	0.885135922999325
v	56	166.85564962699937	0.2163820850000775	0.527732530999856	0	0.21209256499969342	0.8266158070000529
v	57	169.94181563999882	0.2351503120007692	0.557506902001478	0	0.10388601699924038	0.8561059880012181
n	58	173.0553929960006	0.2328281430000061	0.5425551419994008	0	0.1252798459991027	0.8416471239997918
v	59	176.15301946699947	0.30424719499933417	0.6107491870006925	0	0.1439186619991233	0.9261235590001888
n	60	178.60981153399916	0.15810611200140556	0.4698753350003244	0	0.11636773999998695	0.768631283999639
v	61	181.63417026199932	0.22242635099973995	0.5444662690006226	0	0.12913572799880058	0.8601318860000902
n	62	184.0255938800001	0.3988650549999875	0.7190899519991945	0	0.13913992299967504	1.017882213998746
v	63	187.2993802229994	0.2770284409998567	0.59421461599959	0	0.14178543200068816	0.8929055789994891
n	64	190.44885097099905	0.25593531600134156	0.5770528850007395	0	0.1296043849997659	0.8760875190000661
n	65	193.5812728159999	0.5310380299997632	0.8435895330003405	0	0.14665761499963992	1.1422956459991838
v	66	196.98080151700015	0.27521804299976793	0.5932625549994555	0	0.12583084700054314	0.908547416998772
v	67	199.42077199199957	0.6441920899997058	0.9521826239997608	0	0.1750910920000024	1.2676208339998993
n	68	202.21940692299904	0.3407644260005327	0.6529252220007038	0	0.13926250000076834	0.9684022680012276
v	69	204.71891873200002	0.06535978200008685	0.38603083599991805	0	0.12310573200011277	0.701452158000393
n	70	206.95194755900047	0.2561984289986867	0.5689965589990607	0	0.2428308750004362	0.867521341999236
n	71	210.076599774	0.26858614699995087	0.5764541859989549	0	0.175062374000845	0.8920398829995975
v	72	212.49920399300026	0.29370783299964387	0.6030056620002142	0	0.16615901299883262	0.9019029519986361
n	73	215.65909526199903	0.27719047400023555	0.5922583540013875	0	0.0888121649986715	0.907675537000614
v	74	218.09784572199897	0.24782729300022766	0.5693972110002505	0	0.15305813099985244	0.8848641840013443
