response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
v	33	704.4586855729999	704.5845738590001	705.3352329909999	0	705.667264483	705.727402083	705.711219545	[5]	0
n	34	707.4577862330002	707.6088286469999	708.3598547850002	0	708.6437204670001	708.7430970959999	708.6614717570001	[-5]	0
n	35	710.4746635440001	710.6633379589998	711.414427015	0	711.7393425949999	711.792174923	711.4149200530001	[5]	1
v	36	713.5225890030001	713.6169117210002	714.3677216159999	0	714.6113974280001	714.757926969	714.7417953990002	[-5]	1
n	37	716.4886724470002	716.639888789	717.3911365100003	0	717.7474256390001	717.7736068610002	717.5078889470001	[5]	1
n	38	719.504119619	719.600516253	720.3517570660001	0	720.6356244090002	720.722669794	720.5569548369999	[5]	1
v	39	722.4538129450002	722.6486502500002	723.4001628199999	0	723.691578291	723.7717047710003	723.7067930819999	[-5]	1
n	40	725.502254948	725.7456575740002	726.4968552599998	0	726.7156067300002	726.8874086350002	726.8712590599998	[5]	1
v	41	728.6181354320001	728.8887930139999	729.6398699209999	0	729.9557369519998	730.0364334770002	730.0202713429999	[-5]	1
n	42	731.7673047590001	731.832253133	732.582789954	0	732.868081785	732.9688620820002	732.8861630279998	[-5]	0
v	43	734.6996121530001	734.9284796699999	735.679588854	0	735.9637425689998	736.051270983	735.9851263380001	[5]	0
n	44	737.781761918	737.9284662240002	738.6795183250001	0	738.9558626809999	739.0502726	738.9842313079998	[5]	1
v	45	740.7809019370002	740.9130662090001	741.6639383070001	0	741.947790742	742.0493311770001	741.7669758699999	[-5]	1
n	46	743.7798169890002	743.9203864440001	744.671474618	0	745.0119002249999	745.0484172199999	744.782704322	[5]	1
v	47	746.779092492	746.881659827	747.6329366919999	0	747.939934216	748.0308482519999	748.0146561269999	[5]	0
n	48	749.7616729629999	749.7682973750002	750.518870459	0	750.787957256	750.8966261300002	750.519362091	[5]	1
v	1	794.3138965510002	794.8342288859999	795.585489563	0	795.8847206609998	795.9658339329999	795.5859711090002	[-5]	1
n	2	797.695985238	798.0571324799998	798.8081967439998	0	799.0527892119999	799.1981707190002	799.1821234069998	[5]	1
v	3	800.9286829050002	801.3532971630002	802.104405346	0	802.4048724959998	802.4804621220001	802.3147648939998	[5]	0
v	4	804.21102703	804.4733261890001	805.2243956850002	0	805.5169456670001	805.5961612410001	805.2248860320001	[-5]	1
n	5	807.3270459119999	807.3458934559999	808.0970558150002	0	808.3729673739999	808.4785955349998	808.3128997570002	[-5]	0
n	6	810.2089758100001	810.538495277	811.2893959630001	0	811.5489983030002	811.6609166449998	811.289880111	[5]	1
v	7	813.3912199910001	813.6178307660002	814.3691039780001	0	814.653037736	814.760011246	814.7437969030002	[5]	0
v	8	816.4906554150002	817.1375349780001	817.888612661	0	818.1491234559999	818.2922778020002	818.276107399	[-5]	1
v	9	820.022486498	820.6581451669999	821.4092256509998	0	821.733170083	821.7911342110001	821.4097124230002	[-5]	1
n	10	823.5218399979999	823.5937288690002	824.3448258779999	0	824.6132778780002	824.7236245429999	824.457831055	[-5]	0
v	11	826.4540732219998	826.6660386500002	827.4186794980001	0	827.7172831950002	827.7893202690002	827.6234932000002	[-5]	1
v	12	829.5194985369999	829.7617435400002	830.5122792309999	0	830.7736342550002	830.904959293	830.8888759880001	[5]	0
n	13	832.6352568870002	832.8344998120001	833.585811634	0	833.8696815550002	833.987349941	833.9712193609998	[5]	1
v	14	835.7180308689999	835.770267072	836.5211506129999	0	836.8295091079999	836.90306354	836.8381477950002	[-5]	1
n	15	838.6337084659999	838.8982510239998	839.6492624809998	0	839.925460592	840.0354479970001	839.6497503999999	[5]	1
v	16	841.7661021879999	841.8666658810002	842.6179494789999	0	842.96555635	843.0011849970001	842.7189322849999	[-5]	1
n	17	844.73170949	844.9539791980001	845.7050959769999	0	846.0216334649999	846.083566623	846.0177917830001	[5]	1
n	18	847.8139627599999	848.3700747309999	849.1213701269999	0	849.3819121299998	849.499256006	849.3334179540002	[-5]	0
v	19	851.230042791	851.3705139220001	852.1216659319998	0	852.389701775	852.498271509	852.4321334249998	[5]	0
n	20	854.2289737280003	854.3547417230002	855.1057798749998	0	855.405790363	855.4806403060002	855.415696213	[-5]	0
v	21	857.2110892820001	857.226193253	857.9773136140002	0	858.2938804189998	858.3630676030002	858.0807093960002	[5]	0
n	22	860.0935989330001	860.250866799	861.002040332	0	861.2698796720001	861.3788181129999	861.2130581440001	[5]	1
n	23	863.1094700110002	863.2584204929999	864.0095691750003	0	864.3179208340002	864.3945349810001	864.010053688	[5]	1
[]	24	866.1251203440002	866.3705289320001	867.121106051	0	0.0	867.4939680840002	867.2279593389999	[5]	na
n	25	869.2244240280002	869.3462004450002	870.0975667560001	0	870.3585148390002	870.4927042560003	870.4765618900001	[-5]	0
v	26	872.2232730720002	872.3072039059998	873.0583438670001	0	873.3421714209999	873.4584067420001	873.4422912509999	[5]	0
n	27	875.188685141	875.3545243220001	876.105616927	0	876.4541578889998	876.4907723300003	876.4083539200001	[-5]	0
v	28	878.2213625680001	878.4353245380003	879.1859074449999	0	879.4223860470001	879.5731863850001	879.5570124780002	[-5]	1
